Date, Time, Amount, Type, Description
2019-02-15,00:08:00,0.12,Deposit,Interest Paid
2019-02-05,05:17:51,27,Deposit,VENMO CASHOUT
2019-02-04,06:32:21,325.46,Deposit,PAYPAL TRANSFER
2019-02-04,05:13:50,-413.63,Withdrawal,CAPITAL ONE CRCARDPMT
2019-01-28,05:59:33,250,Deposit,VENMO CASHOUT
2019-01-15,00:51:30,0.08,Deposit,Interest Paid
2019-01-15,04:33:11,417.5,Deposit,VENMO CASHOUT
2019-01-03,00:16:49,-2177.46,Withdrawal,CAPITAL ONE CRCARDPMT
2019-01-03,17:02:13,2000,Deposit,Internet transfer from Online Savings account XXXXXX4736
2018-12-15,00:32:15,0.08,Deposit,Interest Paid
2018-12-14,01:53:43,11.59,Deposit,CARDIONET LLC DIRECT DEP~ Future Amount: 11.59 ~ Tran: DDIR
2018-12-07,02:00:02,70,Deposit,VENMO CASHOUT~ Future Amount: 70 ~ Tran: DDIR
2018-12-04,05:23:23,249,Deposit,VENMO CASHOUT
2018-12-03,06:18:33,105.84,Deposit,PAYPAL TRANSFER
2018-12-03,06:16:08,52,Deposit,VENMO CASHOUT
2018-12-03,05:00:10,-1390.08,Withdrawal,CAPITAL ONE CRCARDPMT
2018-11-29,15:56:13,250.17,Deposit,PAYPAL TRANSFER
2018-11-27,08:40:45,1000,Deposit,Internet transfer from Online Savings account XXXXXX4736
2018-11-15,00:39:20,0.1,Deposit,Interest Paid
2018-11-13,04:43:27,-17.4,Withdrawal,VENMO PAYMENT
2018-11-09,03:42:55,182.71,Deposit,PAYPAL TRANSFER
2018-11-08,03:45:59,35.54,Deposit,PAYPAL TRANSFER
2018-11-02,03:24:11,-1869.81,Withdrawal,CAPITAL ONE CRCARDPMT
2018-10-29,04:00:01,45,Deposit,PAYPAL TRANSFER
2018-10-26,22:26:15,1000,Deposit,Internet transfer from Online Savings account XXXXXX4736
2018-10-22,05:10:56,60,Deposit,PAYPAL TRANSFER
2018-10-15,00:07:00,0.13,Deposit,Interest Paid
2018-10-15,05:14:25,-8,Withdrawal,VENMO PAYMENT
2018-10-15,05:13:55,-30,Withdrawal,VENMO PAYMENT
2018-10-12,03:07:12,-40,Withdrawal,VENMO PAYMENT
2018-10-12,03:07:10,40,Deposit,VENMO CASHOUT
2018-10-11,17:10:08,-60,Withdrawal,"Cardtronics CCSP 1575 NIAGARA FALLS AMHERST, NY, US"
2018-10-10,05:11:33,261.44,Deposit,PAYPAL TRANSFER
2018-10-03,03:27:19,-15,Withdrawal,VENMO PAYMENT
2018-10-02,03:46:57,-874.36,Withdrawal,CAPITAL ONE CRCARDPMT
2018-09-24,03:00:44,-8,Withdrawal,VENMO PAYMENT
2018-09-24,02:59:12,-16,Withdrawal,VENMO PAYMENT
2018-09-20,03:04:02,10,Deposit,VENMO CASHOUT
2018-09-17,05:18:21,1000,Deposit,PAYPAL TRANSFER
2018-09-15,23:49:40,0.16,Deposit,Interest Paid
2018-09-13,02:55:35,-60,Withdrawal,VENMO PAYMENT
2018-09-04,05:34:43,-1396.37,Withdrawal,CAPITAL ONE CRCARDPMT
2018-09-04,04:04:21,-5,Withdrawal,VENMO PAYMENT
2018-08-16,04:12:25,12,Deposit,PAYPAL TRANSFER
2018-08-15,00:02:38,0.18,Deposit,Interest Paid
2018-08-15,05:09:29,-12,Withdrawal,VENMO PAYMENT
2018-08-15,05:09:26,8,Deposit,VENMO CASHOUT
2018-08-02,02:56:04,-3049.12,Withdrawal,CAPITAL ONE CRCARDPMT
2018-08-01,03:38:51,45,Deposit,PAYPAL TRANSFER
2018-07-31,08:33:25,4000,Deposit,Internet transfer from Online Savings account XXXXXX4736
2018-07-27,05:06:44,-8,Withdrawal,VENMO PAYMENT
2018-07-15,23:47:53,0.2,Deposit,Interest Paid
2018-07-15,23:45:36,2.5,Deposit,ATM Fee Reimbursement
2018-07-14,06:46:57,-282.5,Withdrawal,"7ELEVEN-FCTI 690 FRENCH ROAD AMHERST, NY, US"
2018-07-13,03:02:15,-15,Withdrawal,VENMO PAYMENT
2018-07-09,00:17:31,-1.81,Withdrawal,"JOURNEYS TORONTO, ON, CA"
2018-07-03,05:30:15,517,Deposit,Requested transfer from BANKUSER Ally Bank Transfer
2018-07-03,03:43:15,-2709.19,Withdrawal,CAPITAL ONE CRCARDPMT
2018-07-03,03:40:15,-63,Withdrawal,VENMO PAYMENT
2018-07-02,05:36:07,-83,Withdrawal,VENMO PAYMENT
2018-07-02,05:34:02,-40,Withdrawal,VENMO PAYMENT
2018-07-02,03:22:30,45,Deposit,PAYPAL TRANSFER
2018-06-27,01:01:54,72,Deposit,VENMO CASHOUT~ Future Amount: 72 ~ Tran: DDIR
2018-06-26,05:22:10,1500,Deposit,Requested transfer from BANKUSER Ally Bank Transfer
2018-06-26,05:16:17,-236.34,Withdrawal,"BANCO POPOLARE SOCIE VENEZIA-MESTR, IT"
2018-06-26,04:31:25,65,Deposit,VENMO CASHOUT
2018-06-22,05:26:44,414,Deposit,VENMO CASHOUT
2018-06-16,06:05:11,-262.86,Withdrawal,"COLLEGE STREET DUBLIN, IE"
2018-06-15,23:58:39,0.25,Deposit,Interest Paid
2018-06-15,23:57:11,10,Deposit,ATM Fee Reimbursement
2018-06-14,01:05:28,3.5,Deposit,VENMO CASHOUT~ Future Amount: 3.5 ~ Tran: DDIR
2018-06-14,01:02:52,500,Deposit,PAYPAL TRANSFER~ Future Amount: 500 ~ Tran: DDIR
2018-06-12,02:55:27,-35,Withdrawal,VENMO PAYMENT
2018-06-08,09:47:20,-34.2,Withdrawal,"BOMOON-M SEOUL, KR"
2018-06-05,00:43:51,-54.3,Withdrawal,"DONGDAEGUHWANSEUNGCENT ER DAEGU, KR"
2018-06-04,03:08:41,-1295.05,Withdrawal,CAPITAL ONE CRCARDPMT
2018-06-02,09:42:30,-53.91,Withdrawal,"DONGSUNGRO-CNS24 DAEGU, KR"
2018-05-22,02:51:24,100,Deposit,PAYPAL TRANSFER
2018-05-18,19:02:19,-190.81,Withdrawal,"WOORI CARD SEOUL, KR"
2018-05-15,00:03:38,0.36,Deposit,Interest Paid
2018-05-15,00:02:02,10,Deposit,ATM Fee Reimbursement
2018-05-15,02:39:30,-184.09,Withdrawal,"PAKHAM SERVICE UNIT PA 0612, LA"
2018-05-14,07:10:42,-99.28,Withdrawal,"LUANGPRABANG AIRPORT L 0601, LA"
2018-05-14,05:07:24,-40,Withdrawal,VENMO PAYMENT
2018-05-14,03:16:35,500,Deposit,PAYPAL TRANSFER
2018-05-14,02:28:09,-54.43,Withdrawal,"ABOA SIEM REAP,#0908,W SIEM REAP, KH"
2018-05-12,02:50:26,-64.51,Withdrawal,"ABOA SIEM REAP,#0908,W SIEM REAP, KH"
2018-05-10,17:34:02,-65.52,Withdrawal,"ANZR-NEW APS MK PHNOM PENH, KH"
2018-05-10,07:43:01,-84.67,Withdrawal,"ABOA SIEM REAP,#0908,W SIEM REAP, KH"
2018-05-09,02:43:32,90,Deposit,PAYPAL TRANSFER
2018-05-07,05:04:51,-104.83,Withdrawal,"ABOA G8,SHV SIHANOUKVILLE, KH"
2018-05-03,03:41:06,-207.65,Withdrawal,"CUBC8890-N/A N/A Phnom Penh, KH"
2018-05-02,02:54:03,-1163.45,Withdrawal,CAPITAL ONE CRCARDPMT
2018-04-24,20:40:48,-14.26,Withdrawal,"SMBL OFFSITE-II POKHARA, NP"
2018-04-16,05:42:31,500,Deposit,PAYPAL TRANSFER
2018-04-15,23:48:11,0.41,Deposit,Interest Paid
2018-04-15,23:45:35,9.6,Deposit,ATM Fee Reimbursement
2018-04-04,01:00:04,45,Deposit,PAYPAL TRANSFER~ Future Amount: 45 ~ Tran: DDIR
2018-04-03,03:17:08,-111.73,Withdrawal,CAPITAL ONE CRCARDPMT
2018-04-02,06:29:07,-247.22,Withdrawal,"SCB DURBAR MARG KATHMANDU, NP"
2018-04-02,06:27:50,-344.17,Withdrawal,"SCB DURBAR MARG KATHMANDU, NP"
2018-03-22,00:46:39,145,Deposit,NY STATE NYSTTAXRFD~ Future Amount: 145 ~ Tran: DDIR
2018-03-15,23:56:51,0.22,Deposit,Interest Paid
2018-03-15,23:54:36,4.81,Deposit,ATM Fee Reimbursement
2018-03-14,00:56:47,500,Deposit,PAYPAL TRANSFER~ Future Amount: 500 ~ Tran: DDIR
2018-03-13,05:28:23,-110.09,Withdrawal,RGE WEB_PAY
2018-03-13,01:09:46,-344.72,Withdrawal,"NABIL ATM CHINA TOWN T Kathmandu, NP"
2018-03-10,19:08:40,-100,Withdrawal,"Cardtronics CCS 2970   NIAGARA FALL AMHERST, NY, US"
2018-03-09,00:57:16,1982.49,Deposit,CARDIONET LLC DIRECT DEP~ Future Amount: 1982.49 ~ Tran: DDIR
2018-03-05,23:22:17,871,Deposit,eCheck Deposit
2018-03-05,00:52:07,1774,Deposit,IRS  TREAS 310 TAX REF~ Future Amount: 1774 ~ Tran: DDIR
2018-03-02,02:53:55,-1712.87,Withdrawal,CAPITAL ONE CRCARDPMT
2018-03-02,01:01:39,183,Deposit,FRANCHISE TAX BD CASTTAXRFD~ Future Amount: 183 ~ Tran: DDIR
2018-02-26,04:46:33,-21,Withdrawal,VENMO PAYMENT
2018-02-23,14:32:35,-1278.63,Withdrawal,Internet transfer to Online Savings account XXXXXX4736
2018-02-23,01:20:22,1856.9,Deposit,CARDIONET LLC DIRECT DEP~ Future Amount: 1856.9 ~ Tran: DDIR
2018-02-20,03:12:26,-2402.79,Withdrawal,CAPITAL ONE ONLINE PMT
2018-02-15,23:56:28,0.25,Deposit,Interest Paid
2018-02-09,00:50:16,1856.9,Deposit,CARDIONET LLC DIRECT DEP~ Future Amount: 1856.9 ~ Tran: DDIR
2018-02-08,05:06:18,-3,Withdrawal,eRentPayment 8668525366
2018-02-08,00:54:14,200,Deposit,VENMO CASHOUT~ Future Amount: 200 ~ Tran: DDIR
2018-02-05,05:19:11,450,Deposit,VENMO CASHOUT
2018-02-02,03:01:06,-1000,Withdrawal,eRentPayment 8668525366
2018-02-02,02:59:29,-2045.56,Withdrawal,CAPITAL ONE CRCARDPMT
2018-02-01,05:32:19,-99.31,Withdrawal,RGE WEB_PAY
2018-02-01,03:32:24,119,Deposit,VENMO CASHOUT
2018-01-26,01:51:31,1860.2,Deposit,CARDIONET LLC DIRECT DEP~ Future Amount: 1860.2 ~ Tran: DDIR
2018-01-22,05:07:22,550,Deposit,PAYPAL TRANSFER
2018-01-17,01:42:27,-64.17,Withdrawal,UNITED FIN CAS INS PREM~ Future Amount: 64.17 ~ Tran: ACHDW
2018-01-15,23:40:59,0.21,Deposit,Interest Paid
2018-01-12,09:45:14,-2233.14,Withdrawal,Internet transfer to Online Savings account XXXXXX4736
2018-01-12,00:57:06,1786,Deposit,CARDIONET LLC DIRECT DEP~ Future Amount: 1786 ~ Tran: DDIR
2018-01-08,03:13:25,-3,Withdrawal,eRentPayment 8668525366
2018-01-05,05:08:05,-81.54,Withdrawal,RGE WEB_PAY
2018-01-03,05:19:44,-1000,Withdrawal,eRentPayment 8668525366
2018-01-03,04:32:15,-1436.38,Withdrawal,CAPITAL ONE CRCARDPMT
2018-01-02,05:07:07,1000,Deposit,PAYPAL TRANSFER
2018-01-02,03:20:43,-20,Withdrawal,VENMO PAYMENT
2018-01-02,02:52:25,200,Deposit,VENMO CASHOUT
