Date, Time, Amount, Type, Description
2019-02-15,00:12:02,31.57,Deposit,Interest Paid
2019-01-15,00:54:18,30.7,Deposit,Interest Paid
2019-01-03,17:02:13,-2000,Withdrawal,Internet transfer to Interest Checking account XXXXXX4747
2018-12-21,00:05:31,70.55,Deposit,eCheck Deposit
2018-12-15,00:32:54,31.33,Deposit,Interest Paid
2018-12-03,00:06:56,210.37,Deposit,eCheck Deposit
2018-11-27,08:40:45,-1000,Withdrawal,Internet transfer to Interest Checking account XXXXXX4747
2018-11-15,00:41:22,32.55,Deposit,Interest Paid
2018-11-14,23:57:06,16.84,Deposit,eCheck Deposit
2018-11-05,23:23:54,41.27,Deposit,eCheck Deposit
2018-11-05,23:23:54,537.42,Deposit,eCheck Deposit
2018-10-30,03:15:53,1797.52,Deposit,ROBINHOOD (CRFN) ACH
2018-10-26,22:26:15,-1000,Withdrawal,Internet transfer to Interest Checking account XXXXXX4747
2018-10-26,05:16:47,-3000,Withdrawal,VANGUARD BUY INVESTMENT
2018-10-26,05:16:47,-1500,Withdrawal,VANGUARD BUY INVESTMENT
2018-10-15,00:08:51,37.41,Deposit,Interest Paid
2018-10-09,23:22:45,514.7,Deposit,eCheck Deposit
2018-10-05,03:16:45,-2000,Withdrawal,ROBINHOOD (CRFN) ACH
2018-10-01,04:58:12,1100,Deposit,ROBINHOOD (CRFN) ACH
2018-09-25,23:22:51,650.44,Deposit,eCheck Deposit
2018-09-25,05:18:23,-5500,Withdrawal,VANGUARD BUY INVESTMENT
2018-09-15,23:50:21,39.02,Deposit,Interest Paid
2018-09-14,03:18:12,15000,Deposit,ROBINHOOD (CRFN) ACH
2018-09-12,01:10:04,-0.99,Withdrawal,VANGUARD EDI PYMNTS~ Future Amount: .99 ~ Tran: ACHDW
2018-09-11,05:38:04,0.03,Deposit,VANGUARD EDI PYMNTS
2018-09-11,05:38:04,0.96,Deposit,VANGUARD EDI PYMNTS
2018-09-07,23:22:10,206.2,Deposit,eCheck Deposit
2018-09-05,03:40:37,-18000,Withdrawal,ROBINHOOD (CRFN) ACH
2018-08-15,00:03:55,48.74,Deposit,Interest Paid
2018-07-31,08:33:24,-4000,Withdrawal,Internet transfer to Interest Checking account XXXXXX4747
2018-07-15,23:51:14,48.3,Deposit,Interest Paid
2018-06-15,00:00:11,46.8,Deposit,Interest Paid
2018-05-15,00:04:29,42.34,Deposit,Interest Paid
2018-04-15,23:52:00,42.29,Deposit,Interest Paid
2018-03-15,23:59:27,39.69,Deposit,Interest Paid
2018-03-13,05:25:59,-2000,Withdrawal,Requested transfer to BANKUSER (SAN DIEGO COUNTY CREDIT UNION Checking XXXXXX1090)
2018-03-12,23:22:16,18.69,Deposit,eCheck Deposit
2018-02-27,02:51:32,135.8,Deposit,AIRBNB PAYMENTS YDPI6BYZX6 RMR*IK*G-E5CJY5TMSACCQ\
2018-02-23,14:32:35,1278.63,Deposit,Internet transfer from Interest Checking account XXXXXX4747
2018-02-21,03:31:27,64.02,Deposit,AIRBNB PAYMENTS TISSDQESXP RMR*IK*G-ETVOLEUUA5AJK\
2018-02-15,23:57:36,40.04,Deposit,Interest Paid
2018-02-13,05:30:03,57.23,Deposit,AIRBNB PAYMENTS ZLDGYQZUCO RMR*IK*G-UOBY673QII6TM\
2018-02-06,03:57:13,117.37,Deposit,AIRBNB PAYMENTS BVYTA755N6 RMR*IK*G-AEQQUI66FHTSM\
2018-01-30,02:36:56,135.8,Deposit,AIRBNB PAYMENTS 5TXQ2RFVTI RMR*IK*G-COIYPOO3ZYYL4\
2018-01-23,02:38:11,0.01,Deposit,AIRBNB PAYMENTS BTGLUKTXSR RMR*IK*G-ZT544IMAPPT2H\
2018-01-15,23:44:21,34.52,Deposit,Interest Paid
2018-01-12,09:45:14,2233.14,Deposit,Internet transfer from Interest Checking account XXXXXX4747
2017-12-15,00:13:57,31.79,Deposit,Interest Paid
2017-12-15,10:59:49,1484.53,Deposit,Internet transfer from Interest Checking account XXXXXX4747
2017-12-01,09:09:02,2000,Deposit,Internet transfer from Interest Checking account XXXXXX4747
2017-11-30,21:52:28,-2500,Withdrawal,Internet transfer to Interest Checking account XXXXXX4747
2017-11-15,00:08:14,30.77,Deposit,Interest Paid
2017-11-03,08:25:36,2000,Deposit,Internet transfer from Interest Checking account XXXXXX4747
2017-10-25,05:14:45,2300,Deposit,Requested transfer from BANKUSER Ally Bank Transfer
2017-10-15,23:37:06,16.81,Deposit,Interest Paid
